campaign_name,campaign_type,channel,objective,target_audience,landing_page_url,destination_url,utm_source,utm_medium,utm_campaign,cta,campaign_owner,launch_date,budget,campaign_message,quality_tier
uk_enterprise_demo_q3_2026,Paid Search,Google Ads,Demo Signups,UK Enterprise,https://acme.io/demo,https://acme.io/demo?utm_source=google&utm_medium=cpc&utm_campaign=uk_enterprise_demo_q3_2026,google,cpc,uk_enterprise_demo_q3_2026,Book a Demo,Sarah Chen,2026-09-01,15000,Enterprise Q3 demo push for UK named accounts.,excellent
us_midmarket_trial_signup_q3,Paid Search,Microsoft Ads,Free Trial Signups,US Mid-Market,https://acme.io/trial,https://acme.io/trial?utm_source=bing&utm_medium=cpc&utm_campaign=us_midmarket_trial_signup_q3,bing,cpc,us_midmarket_trial_signup_q3,Start Free Trial,James Patel,2026-09-05,8000,,excellent
enterprise_abm_linkedin_q4,Paid Social,LinkedIn Ads,Pipeline Acceleration,Enterprise IT Decision Makers,https://acme.io/abm,https://acme.io/abm?utm_source=linkedin&utm_medium=paid_social&utm_campaign=enterprise_abm_linkedin_q4,linkedin,paid_social,enterprise_abm_linkedin_q4,Request a Consultation,Maria Gonzalez,2026-10-01,20000,ABM push for top 200 enterprise accounts.,excellent
retargeting_meta_free_trial_q3,Paid Social,Meta Ads,Free Trial Signups,SMB Owners,https://acme.io/trial,https://acme.io/trial?utm_source=facebook&utm_medium=paid_social&utm_campaign=retargeting_meta_free_trial_q3,facebook,paid_social,retargeting_meta_free_trial_q3,Start Your Trial,Tom Becker,2026-09-10,6000,,excellent
display_brand_awareness_na_q3,Display,Programmatic Display,Brand Awareness,North America Enterprise,https://acme.io/brand,https://acme.io/brand?utm_source=dv360&utm_medium=display&utm_campaign=display_brand_awareness_na_q3,dv360,display,display_brand_awareness_na_q3,Learn More,Priya Nair,2026-09-15,12000,,excellent
content_syndication_zoominfo_q3,Content Syndication,ZoomInfo,Lead Generation,IT Decision Makers,https://acme.io/whitepaper,https://acme.io/whitepaper?utm_source=zoominfo&utm_medium=content_syndication&utm_campaign=content_syndication_zoominfo_q3,zoominfo,content_syndication,content_syndication_zoominfo_q3,Download the Whitepaper,Sarah Chen,2026-09-20,10000,,excellent
email_customer_retention_oct,Email,Braze,Customer Retention,Existing Customers,https://acme.io/loyalty,,,,,Renew Your Plan,James Patel,2026-10-05,,Q4 retention push for accounts renewing in November.,excellent
webinar_devops_best_practices_q3,Webinar,ON24,Event Registration,DevOps Engineers,https://acme.io/webinar-devops,,,,,Register Now,Maria Gonzalez,2026-09-25,,,excellent
de_smb_leadgen_q3_2026,Paid Search,Google Ads,Lead Generation,DACH SMB,http://acme.io/leadgen,https://acme.io/leadgen?utm_source=google&utm_medium=cpc&utm_campaign=de_smb_leadgen_q3_2026,google,cpc,de_smb_leadgen_q3_2026,Get a Quote,Tom Becker,2026-09-12,7000,,pass_ready
apac_enterprise_webinar_promo,Paid Social,LinkedIn Ads,Event Registration,APAC Enterprise,https://acme.io/webinar-apac,https://acme.io/webinar-apac?utm_source=linkedin&utm_medium=paid_social&utm_campaign=apac_enterprise_webinar_promo,linkedin,paid_social,apac_enterprise_webinar_promo,Save Your Seat at Our APAC Enterprise Cloud Strategy Webinar Today,Priya Nair,2026-09-18,9000,,pass_ready
Partner_Comarketing_Launch_Q3,Partner Marketing,Channel Partner Program,Co-Marketing Reach,Partner Prospects,https://acme.io/partner-launch,,,,,Explore the Partnership,Maria Gonzalez,2026-09-22,,,pass_ready
organic_social_product_launch,Organic Social,LinkedIn Organic,Brand Awareness,Existing Followers,https://acme.io/launch,,,,organic_launch_social,See What's New,Sarah Chen,2026-09-08,,,pass_ready
flash_promo_email_signup,Email,Marketo,Lead Generation,Newsletter Subscribers,https://acme.io/flash,,,,,Claim Your Discount,James Patel,2026-08-08,,,pass_ready
UK Enterprise Demo Q3 2026,Paid Search,Google Ads,Demo Signups,UK Enterprise,http://acme.io/demo2,https://acme.io/demo2?utm_source=Google&utm_medium=cost per click&utm_campaign=uk_enterprise_demo2_q3,Google,cost per click,uk_enterprise_demo2_q3,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,Sarah Chen,2026-09-01,15000,,warning
enterprise__demo!q4,Paid Social,LinkedIn Ads,Pipeline Acceleration,Enterprise IT Decision Makers,http://acme.io/abm2,https://acme.io/abm2?utm_source=LinkedIn&utm_medium=paid_social&utm_campaign=enterprise_demo_q4,LinkedIn,paid_social,enterprise_demo_q4,Request a Consultation,Maria Gonzalez,2026-10-01,20000,,warning
_retargeting_meta_trial_,Paid Social,Meta Ads,Free Trial Signups,SMB Owners,http://acme.io/trial2,https://acme.io/trial2?utm_source=facebook&utm_medium=paid social&utm_campaign=different_campaign_name,facebook,paid social,different_campaign_name,Start Your Trial,Tom Becker,2026-09-10,6000,,warning
Display Brand Awareness NA,Display,Programmatic Display,Brand Awareness,North America Enterprise,http://acme.io/brand2,https://acme.io/brand2?utm_source=DV360&utm_medium=DISPLAY&utm_campaign=display_brand_awareness_na,DV360,DISPLAY,display_brand_awareness_na,Learn More,Priya Nair,2026-09-15,12000,,warning
content-syndication-zoominfo!!,Content Syndication,ZoomInfo,Lead Generation,IT Decision Makers,http://acme.io/whitepaper2,https://acme.io/whitepaper2?utm_source=zoominfo&utm_medium=content_syndication&utm_campaign=content_syndication_zoominfo2,zoominfo,content_syndication,content_syndication_zoominfo2,Download the Whitepaper,Sarah Chen,2026-08-07,10000,,warning
